Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
868,2.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.16,0.00,3.16,10.00,0.00,10.00
869,2.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.16,0.00,3.16
869,2.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.16,0.00,3.16,10.00,0.00,10.00
870,2.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.16,0.00,3.16
870,2.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.16,0.00,3.16,10.00,0.00,10.00
871,2.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.16,0.00,3.16
871,2.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.17,0.00,3.17,10.00,0.00,10.00
872,2.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.17,0.00,3.17
872,2.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.17,0.00,3.17,10.00,0.00,10.00
873,2.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.17,0.00,3.17
873,2.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.17,0.00,3.17,10.00,0.00,10.00
874,2.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.17,0.00,3.17
874,2.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.18,0.00,3.18,10.00,0.00,10.00
875,2.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.18,0.00,3.18
875,2.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.18,0.00,3.18,10.00,0.00,10.00
876,2.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.18,0.00,3.18
876,2.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.18,0.00,3.18,10.00,0.00,10.00
877,2.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.18,0.00,3.18
877,2.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.19,0.00,3.19,10.00,0.00,10.00
878,2.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.19,0.00,3.19
878,2.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.19,0.00,3.19,10.00,0.00,10.00
879,2.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.19,0.00,3.19
879,2.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.19,0.00,3.19,10.00,0.00,10.00
880,2.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.19,0.00,3.19
880,2.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.20,0.00,3.20,10.00,0.00,10.00
881,2.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.20,0.00,3.20
881,2.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.20,0.00,3.20,10.00,0.00,10.00
882,2.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.20,0.00,3.20
882,2.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.20,0.00,3.20,10.00,0.00,10.00
883,2.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.20,0.00,3.20
883,2.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.21,0.00,3.21,10.00,0.00,10.00
884,2.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.21,0.00,3.21
884,2.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.21,0.00,3.21,10.00,0.00,10.00
885,2.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.21,0.00,3.21
885,2.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.21,0.00,3.21,10.00,0.00,10.00
886,2.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.21,0.00,3.21
886,2.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.22,0.00,3.22,10.00,0.00,10.00
887,2.28,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.22,0.00,3.22
887,2.28,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.22,0.00,3.22,10.00,0.00,10.00
888,2.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.22,0.00,3.22
888,2.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.23,0.00,3.23,10.00,0.00,10.00
889,2.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.23,0.00,3.23
889,2.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.23,0.00,3.23,10.00,0.00,10.00
890,2.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.23,0.00,3.23
890,2.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.23,0.00,3.23,10.00,0.00,10.00
891,2.29,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.23,0.00,3.23
891,2.29,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.24,0.00,3.24,10.00,0.00,10.00
892,2.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.24,0.00,3.24
892,2.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.24,0.00,3.24,10.00,0.00,10.00
893,2.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.24,0.00,3.24
893,2.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.24,0.00,3.24,10.00,0.00,10.00
894,2.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.24,0.00,3.24
894,2.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.25,0.00,3.25,10.00,0.00,10.00
895,2.30,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.25,0.00,3.25
895,2.30,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.25,0.00,3.25,10.00,0.00,10.00
896,2.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.25,0.00,3.25
896,2.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.25,0.00,3.25,10.00,0.00,10.00
897,2.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.25,0.00,3.25
897,2.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.26,0.00,3.26,10.00,0.00,10.00
898,2.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.26,0.00,3.26
898,2.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.26,0.00,3.26,10.00,0.00,10.00
899,2.31,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.26,0.00,3.26
899,2.31,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.26,0.00,3.26,10.00,0.00,10.00
900,2.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.26,0.00,3.26
900,2.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.27,0.00,3.27,10.00,0.00,10.00
901,2.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.27,0.00,3.27
901,2.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.27,0.00,3.27,10.00,0.00,10.00
902,2.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.27,0.00,3.27
902,2.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.27,0.00,3.27,10.00,0.00,10.00
903,2.32,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.27,0.00,3.27
903,2.32,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.28,0.00,3.28,10.00,0.00,10.00
904,2.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.28,0.00,3.28
904,2.33,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.28,0.00,3.28,10.00,0.00,10.00
905,2.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.28,0.00,3.28
905,2.33,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.28,0.00,3.28,10.00,0.00,10.00
906,2.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.28,0.00,3.28
906,2.33,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.29,0.00,3.29,10.00,0.00,10.00
907,2.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.29,0.00,3.29
907,2.33,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.29,0.00,3.29,10.00,0.00,10.00
908,2.33,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.29,0.00,3.29
908,2.33,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.29,0.00,3.29,10.00,0.00,10.00
909,2.34,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.29,0.00,3.29
909,2.34,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.30,0.00,3.30,10.00,0.00,10.00
910,2.34,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.30,0.00,3.30
910,2.34,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.30,0.00,3.30,10.00,0.00,10.00
911,2.34,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.30,0.00,3.30
911,2.34,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.31,0.00,3.31,10.00,0.00,10.00
912,2.35,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.31,0.00,3.31
912,2.35,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.31,0.00,3.31,10.00,0.00,10.00
913,2.35,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.31,0.00,3.31
913,2.35,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.31,0.00,3.31,10.00,0.00,10.00
914,2.35,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.31,0.00,3.31
914,2.35,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.32,0.00,3.32,10.00,0.00,10.00
915,2.35,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.32,0.00,3.32
915,2.35,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.32,0.00,3.32,10.00,0.00,10.00
916,2.36,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.32,0.00,3.32
916,2.36,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.32,0.00,3.32,10.00,0.00,10.00
917,2.36,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.32,0.00,3.32
917,2.36,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.33,0.00,3.33,10.00,0.00,10.00
918,2.36,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.33,0.00,3.33
918,2.36,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.33,0.00,3.33,10.00,0.00,10.00
919,2.36,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.33,0.00,3.33
919,2.36,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.33,0.00,3.33,10.00,0.00,10.00
920,2.37,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.33,0.00,3.33
920,2.37,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.34,0.00,3.34,10.00,0.00,10.00
921,2.37,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.34,0.00,3.34
921,2.37,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.34,0.00,3.34,10.00,0.00,10.00
922,2.37,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.34,0.00,3.34
922,2.37,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.34,0.00,3.34,10.00,0.00,10.00
923,2.37,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.34,0.00,3.34
923,2.37,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.35,0.00,3.35,10.00,0.00,10.00
924,2.38,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.35,0.00,3.35
924,2.38,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.35,0.00,3.35,10.00,0.00,10.00
925,2.38,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.35,0.00,3.35
925,2.38,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.36,0.00,3.36,10.00,0.00,10.00
926,2.38,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.36,0.00,3.36
926,2.38,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.36,0.00,3.36,10.00,0.00,10.00
927,2.38,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.36,0.00,3.36
927,2.38,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.36,0.00,3.36,10.00,0.00,10.00
928,2.39,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.36,0.00,3.36
928,2.39,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.37,0.00,3.37,10.00,0.00,10.00
929,2.39,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.37,0.00,3.37
929,2.39,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.37,0.00,3.37,10.00,0.00,10.00
930,2.39,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.37,0.00,3.37
930,2.39,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.37,0.00,3.37,10.00,0.00,10.00
931,2.39,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.37,0.00,3.37
931,2.39,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.38,0.00,3.38,10.00,0.00,10.00
932,2.40,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.38,0.00,3.38
932,2.40,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.38,0.00,3.38,10.00,0.00,10.00
933,2.40,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.38,0.00,3.38
933,2.40,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.39,0.00,3.39,10.00,0.00,10.00
934,2.40,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.39,0.00,3.39
934,2.40,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.39,0.00,3.39,10.00,0.00,10.00
935,2.40,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.39,0.00,3.39
935,2.40,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.39,0.00,3.39,10.00,0.00,10.00
936,2.41,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.39,0.00,3.39
936,2.41,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.40,0.00,3.40,10.00,0.00,10.00
937,2.41,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.40,0.00,3.40
937,2.41,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.40,0.00,3.40,10.00,0.00,10.00
938,2.41,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.40,0.00,3.40
938,2.41,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.40,0.00,3.40,10.00,0.00,10.00
939,2.41,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.40,0.00,3.40
939,2.41,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.41,0.00,3.41,10.00,0.00,10.00
940,2.42,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.41,0.00,3.41
940,2.42,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.41,0.00,3.41,10.00,0.00,10.00
941,2.42,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.41,0.00,3.41
941,2.42,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.41,0.00,3.41,10.00,0.00,10.00
942,2.42,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.41,0.00,3.41
942,2.42,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.42,0.00,3.42,10.00,0.00,10.00
943,2.42,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.42,0.00,3.42
943,2.42,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.42,0.00,3.42,10.00,0.00,10.00
944,2.43,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.42,0.00,3.42
944,2.43,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.42,0.00,3.42,10.00,0.00,10.00
945,2.43,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.42,0.00,3.42
945,2.43,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.43,0.00,3.43,10.00,0.00,10.00
946,2.43,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.43,0.00,3.43
946,2.43,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.43,0.00,3.43,10.00,0.00,10.00
947,2.43,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.43,0.00,3.43
947,2.43,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.43,0.00,3.43,10.00,0.00,10.00
948,2.44,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.43,0.00,3.43
948,2.44,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.44,0.00,3.44,10.00,0.00,10.00
949,2.44,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.44,0.00,3.44
949,2.44,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.44,0.00,3.44,10.00,0.00,10.00
950,2.44,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.44,0.00,3.44
950,2.44,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.44,0.00,3.44,10.00,0.00,10.00
951,2.44,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.44,0.00,3.44
951,2.44,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.45,0.00,3.45,10.00,0.00,10.00
952,2.44,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.45,0.00,3.45
952,2.44,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.45,0.00,3.45,10.00,0.00,10.00
953,2.45,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.45,0.00,3.45
953,2.45,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.45,0.00,3.45,10.00,0.00,10.00
954,2.45,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.45,0.00,3.45
954,2.45,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.46,0.00,3.46,10.00,0.00,10.00
955,2.45,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.46,0.00,3.46
955,2.45,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.46,0.00,3.46,10.00,0.00,10.00
956,2.45,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.46,0.00,3.46
956,2.45,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.46,0.00,3.46,10.00,0.00,10.00
957,2.46,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.46,0.00,3.46
957,2.46,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.47,0.00,3.47,10.00,0.00,10.00
958,2.46,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.47,0.00,3.47
958,2.46,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.47,0.00,3.47,10.00,0.00,10.00
959,2.46,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.47,0.00,3.47
959,2.46,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.47,0.00,3.47,10.00,0.00,10.00
960,2.46,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.47,0.00,3.47
960,2.46,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.48,0.00,3.48,10.00,0.00,10.00
961,2.47,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.48,0.00,3.48
961,2.47,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.48,0.00,3.48,10.00,0.00,10.00
962,2.47,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.48,0.00,3.48
962,2.47,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.48,0.00,3.48,10.00,0.00,10.00
963,2.47,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.48,0.00,3.48
963,2.47,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.49,0.00,3.49,10.00,0.00,10.00
964,2.47,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.49,0.00,3.49
964,2.47,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.49,0.00,3.49,10.00,0.00,10.00
965,2.48,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.49,0.00,3.49
965,2.48,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.49,0.00,3.49,10.00,0.00,10.00
966,2.48,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.49,0.00,3.49
966,2.48,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.50,0.00,3.50,10.00,0.00,10.00
967,2.48,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.50,0.00,3.50
967,2.48,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.50,0.00,3.50,10.00,0.00,10.00
968,2.48,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.50,0.00,3.50
968,2.48,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.50,0.00,3.50,10.00,0.00,10.00
969,2.49,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.50,0.00,3.50
969,2.49,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.51,0.00,3.51,10.00,0.00,10.00
970,2.49,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.51,0.00,3.51
970,2.49,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.51,0.00,3.51,10.00,0.00,10.00
971,2.49,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.51,0.00,3.51
971,2.49,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.52,0.00,3.52,10.00,0.00,10.00
972,2.49,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.52,0.00,3.52
972,2.49,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.52,0.00,3.52,10.00,0.00,10.00
973,2.50,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.52,0.00,3.52
973,2.50,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.52,0.00,3.52,10.00,0.00,10.00
974,2.50,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.52,0.00,3.52
974,2.50,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.53,0.00,3.53,10.00,0.00,10.00
975,2.50,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.53,0.00,3.53
975,2.50,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.54,0.00,3.54,10.00,0.00,10.00
976,2.50,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.54,0.00,3.54
976,2.50,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.54,0.00,3.54,10.00,0.00,10.00
977,2.51,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.54,0.00,3.54
977,2.51,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.54,0.00,3.54,10.00,0.00,10.00
978,2.51,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,3.54,0.00,3.54
978,2.51,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,3.55,0.00,3.55,10.00,0.00,10.00
