Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType
1,0.00,AgentPrefab,Agent,IdleState,Idling,Goal,20.00,0.00,20.00,8.39,0.00,8.22,8.39,0.00,8.22,AStar
1,0.00,AgentPrefab,Agent,SearchState,Searching Path,Goal,20.00,0.00,20.00,8.39,0.00,8.22,8.39,0.00,8.22,AStar
1,0.00,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,8.39,0.00,8.22,8.39,0.00,8.22,AStar
2,0.02,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,8.39,0.00,8.22,8.42,0.00,8.25,AStar
3,0.14,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,8.42,0.00,8.25,8.59,0.00,8.42,AStar
4,0.47,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,8.59,0.00,8.42,9.06,0.00,8.89,AStar
5,0.81,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,9.06,0.00,8.89,9.39,0.00,9.22,AStar
6,0.91,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,9.39,0.00,9.22,9.54,0.00,9.37,AStar
7,1.25,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,9.54,0.00,9.37,10.01,0.00,9.84,AStar
8,1.42,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,10.01,0.00,9.84,10.26,0.00,10.09,AStar
9,1.62,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,10.26,0.00,10.09,10.39,0.00,10.22,AStar
10,1.64,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,10.39,0.00,10.22,10.41,0.00,10.24,AStar
11,1.66,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,10.41,0.00,10.24,10.44,0.00,10.27,AStar
12,1.75,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,10.44,0.00,10.27,10.58,0.00,10.41,AStar
13,2.03,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,10.58,0.00,10.41,10.96,0.00,10.79,AStar
