Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType,CPU(ms)
117,0.52,AgentPrefab,Agent,IdleState,Idling,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
118,0.53,AgentPrefab,Agent,SearchState,Searching,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
119,0.54,AgentPrefab,Agent,MoveState,Moving,Goal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
119,0.54,AIManager,Performance,Pathfinding,Executed,DStar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,237.136
120,0.79,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,
121,0.80,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.00,0.00,0.00,10.00,0.00,20.00,DStar,
122,0.81,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.01,0.00,0.02,10.00,0.00,20.00,DStar,
123,0.82,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.02,0.00,0.04,10.00,0.00,20.00,DStar,
124,0.82,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.02,0.00,0.05,10.00,0.00,20.00,DStar,
125,0.83,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.03,0.00,0.06,10.00,0.00,20.00,DStar,
126,0.83,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.04,0.00,0.07,10.00,0.00,20.00,DStar,
127,0.84,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.04,0.00,0.08,10.00,0.00,20.00,DStar,
128,0.85,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.05,0.00,0.09,10.00,0.00,20.00,DStar,
129,0.85,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.05,0.00,0.11,10.00,0.00,20.00,DStar,
130,0.86,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.06,0.00,0.12,10.00,0.00,20.00,DStar,
131,0.87,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.06,0.00,0.13,10.00,0.00,20.00,DStar,
132,0.87,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.07,0.00,0.14,10.00,0.00,20.00,DStar,
133,0.88,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.08,0.00,0.15,10.00,0.00,20.00,DStar,
134,0.89,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.08,0.00,0.16,10.00,0.00,20.00,DStar,
135,0.89,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.09,0.00,0.17,10.00,0.00,20.00,DStar,
136,0.90,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.09,0.00,0.19,10.00,0.00,20.00,DStar,
137,0.90,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.10,0.00,0.20,10.00,0.00,20.00,DStar,
138,0.91,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.10,0.00,0.21,10.00,0.00,20.00,DStar,
139,0.92,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.11,0.00,0.22,10.00,0.00,20.00,DStar,
140,0.92,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.12,0.00,0.23,10.00,0.00,20.00,DStar,
141,0.93,AgentPrefab,Agent,MoveState,Moving,Goal,10.00,0.00,20.00,0.12,0.00,0.24,10.00,0.00,20.00,DStar,
