Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType,CPU(ms)
1,0.00,AgentPrefab,Agent,IdleState,Idling,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,RRT,
1,0.00,AIManager,Performance,Pathfinding,Executed,RRT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RRT,10.951
2,0.02,AgentPrefab,Agent,SearchState,Searching,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,RRT,
3,0.05,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,RRT,
4,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.00,0.00,0.00,-0.88,0.00,0.48,RRT,
5,0.07,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.02,0.00,0.01,-0.88,0.00,0.48,RRT,
6,0.08,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.03,0.00,0.02,-0.88,0.00,0.48,RRT,
7,0.09,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.05,0.00,0.03,-0.88,0.00,0.48,RRT,
8,0.09,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.06,0.00,0.03,-0.88,0.00,0.48,RRT,
9,0.10,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.07,0.00,0.04,-0.88,0.00,0.48,RRT,
10,0.11,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.08,0.00,0.05,-0.88,0.00,0.48,RRT,
11,0.11,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.10,0.00,0.05,-0.88,0.00,0.48,RRT,
12,0.12,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.11,0.00,0.06,-0.88,0.00,0.48,RRT,
13,0.13,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.12,0.00,0.07,-0.88,0.00,0.48,RRT,
14,0.13,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.13,0.00,0.07,-0.88,0.00,0.48,RRT,
15,0.14,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.14,0.00,0.08,-0.88,0.00,0.48,RRT,
16,0.15,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.16,0.00,0.09,-0.88,0.00,0.48,RRT,
17,0.15,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.17,0.00,0.09,-0.88,0.00,0.48,RRT,
18,0.16,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.18,0.00,0.10,-0.88,0.00,0.48,RRT,
19,0.17,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.19,0.00,0.11,-0.88,0.00,0.48,RRT,
20,0.18,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.21,0.00,0.11,-0.88,0.00,0.48,RRT,
21,0.18,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.22,0.00,0.12,-0.88,0.00,0.48,RRT,
22,0.19,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.23,0.00,0.13,-0.88,0.00,0.48,RRT,
23,0.20,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.24,0.00,0.13,-0.88,0.00,0.48,RRT,
24,0.20,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.25,0.00,0.14,-0.88,0.00,0.48,RRT,
25,0.21,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.27,0.00,0.15,-0.88,0.00,0.48,RRT,
26,0.22,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.28,0.00,0.15,-0.88,0.00,0.48,RRT,
27,0.23,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.30,0.00,0.16,-0.88,0.00,0.48,RRT,
28,0.23,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,-0.31,0.00,0.17,-0.88,0.00,0.48,RRT,
