Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType
1,0.00,AgentPrefab,Agent,IdleState,Idling,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
1,0.00,AgentPrefab,Agent,SearchState,Searching Path,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
1,0.00,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,9.00,0.00,17.00,9.00,0.00,17.00,N/A
2,0.00,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
2,0.00,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
2,0.00,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,9.00,0.00,17.00,9.00,0.00,17.00,N/A
3,0.00,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
3,0.00,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
3,0.00,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,9.00,0.00,17.00,9.00,0.00,17.00,N/A
4,0.03,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,AStar
4,0.03,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.00,0.00,0.00,0.06,0.00,0.03,AStar
4,0.03,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.06,0.00,0.03,9.00,0.00,17.00,9.00,0.00,17.00,N/A
5,0.07,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.06,0.00,0.03,0.06,0.00,0.03,AStar
5,0.07,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.06,0.00,0.03,0.12,0.00,0.07,AStar
5,0.07,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.12,0.00,0.07,9.00,0.00,17.00,9.00,0.00,17.00,N/A
6,0.10,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.12,0.00,0.07,0.12,0.00,0.07,AStar
6,0.10,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.12,0.00,0.07,0.17,0.00,0.10,AStar
6,0.10,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.17,0.00,0.10,9.00,0.00,17.00,9.00,0.00,17.00,N/A
7,0.13,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.17,0.00,0.10,0.17,0.00,0.10,AStar
7,0.13,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.17,0.00,0.10,0.23,0.00,0.13,AStar
7,0.13,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.23,0.00,0.13,9.00,0.00,17.00,9.00,0.00,17.00,N/A
8,0.17,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.23,0.00,0.13,0.23,0.00,0.13,AStar
8,0.17,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.23,0.00,0.13,0.29,0.00,0.17,AStar
8,0.17,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.29,0.00,0.17,9.00,0.00,17.00,9.00,0.00,17.00,N/A
9,0.20,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.29,0.00,0.17,0.29,0.00,0.17,AStar
9,0.20,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.29,0.00,0.17,0.35,0.00,0.20,AStar
9,0.20,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.20,9.00,0.00,17.00,9.00,0.00,17.00,N/A
10,0.23,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.35,0.00,0.20,0.35,0.00,0.20,AStar
10,0.23,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.35,0.00,0.20,0.40,0.00,0.23,AStar
10,0.23,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.40,0.00,0.23,9.00,0.00,17.00,9.00,0.00,17.00,N/A
11,0.27,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.40,0.00,0.23,0.40,0.00,0.23,AStar
11,0.27,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.40,0.00,0.23,0.46,0.00,0.27,AStar
11,0.27,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.46,0.00,0.27,9.00,0.00,17.00,9.00,0.00,17.00,N/A
12,0.30,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.46,0.00,0.27,0.46,0.00,0.27,AStar
12,0.30,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.46,0.00,0.27,0.52,0.00,0.30,AStar
12,0.30,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.52,0.00,0.30,9.00,0.00,17.00,9.00,0.00,17.00,N/A
13,0.33,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.52,0.00,0.30,0.52,0.00,0.30,AStar
13,0.33,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.52,0.00,0.30,0.58,0.00,0.33,AStar
13,0.33,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.58,0.00,0.33,9.00,0.00,17.00,9.00,0.00,17.00,N/A
14,0.37,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.58,0.00,0.33,0.58,0.00,0.33,AStar
14,0.37,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.58,0.00,0.33,0.64,0.00,0.37,AStar
14,0.37,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.64,0.00,0.37,9.00,0.00,17.00,9.00,0.00,17.00,N/A
15,0.40,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.64,0.00,0.37,0.64,0.00,0.37,AStar
15,0.40,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.64,0.00,0.37,0.69,0.00,0.40,AStar
15,0.40,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.69,0.00,0.40,9.00,0.00,17.00,9.00,0.00,17.00,N/A
16,0.43,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.69,0.00,0.40,0.69,0.00,0.40,AStar
16,0.43,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.69,0.00,0.40,0.75,0.00,0.43,AStar
16,0.43,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.75,0.00,0.43,9.00,0.00,17.00,9.00,0.00,17.00,N/A
17,0.47,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.75,0.00,0.43,0.75,0.00,0.43,AStar
17,0.47,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.75,0.00,0.43,0.81,0.00,0.47,AStar
17,0.47,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.81,0.00,0.47,9.00,0.00,17.00,9.00,0.00,17.00,N/A
18,0.50,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.81,0.00,0.47,0.81,0.00,0.47,AStar
18,0.50,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.81,0.00,0.47,0.87,0.00,0.50,AStar
18,0.50,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.87,0.00,0.50,9.00,0.00,17.00,9.00,0.00,17.00,N/A
19,0.53,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.87,0.00,0.50,0.87,0.00,0.50,AStar
19,0.53,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.87,0.00,0.50,0.92,0.00,0.53,AStar
19,0.53,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.92,0.00,0.53,9.00,0.00,17.00,9.00,0.00,17.00,N/A
20,0.57,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.92,0.00,0.53,0.92,0.00,0.53,AStar
20,0.57,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.92,0.00,0.53,0.98,0.00,0.57,AStar
20,0.57,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.98,0.00,0.57,9.00,0.00,17.00,9.00,0.00,17.00,N/A
21,0.60,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,0.98,0.00,0.57,0.98,0.00,0.57,AStar
21,0.60,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,0.98,0.00,0.57,1.04,0.00,0.60,AStar
21,0.60,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,1.04,0.00,0.60,9.00,0.00,17.00,9.00,0.00,17.00,N/A
22,0.63,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,1.04,0.00,0.60,1.04,0.00,0.60,AStar
22,0.63,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.04,0.00,0.60,1.10,0.00,0.63,AStar
22,0.63,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,1.10,0.00,0.63,9.00,0.00,17.00,9.00,0.00,17.00,N/A
23,0.67,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,1.10,0.00,0.63,1.10,0.00,0.63,AStar
23,0.67,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.10,0.00,0.63,1.15,0.00,0.67,AStar
23,0.67,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,1.15,0.00,0.67,9.00,0.00,17.00,9.00,0.00,17.00,N/A
24,0.70,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,1.15,0.00,0.67,1.15,0.00,0.67,AStar
24,0.70,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.15,0.00,0.67,1.21,0.00,0.70,AStar
24,0.70,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,1.21,0.00,0.70,9.00,0.00,17.00,9.00,0.00,17.00,N/A
25,0.73,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,1.21,0.00,0.70,1.21,0.00,0.70,AStar
25,0.73,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.21,0.00,0.70,1.27,0.00,0.73,AStar
25,0.73,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,1.27,0.00,0.73,9.00,0.00,17.00,9.00,0.00,17.00,N/A
26,0.77,AgentPrefab,Agent,MoveState,Moving,AllyPrefab,9.00,0.00,17.00,1.27,0.00,0.73,1.27,0.00,0.73,AStar
26,0.77,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.27,0.00,0.73,1.33,0.00,0.77,AStar
