Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,CurrentX,CurrentY,CurrentZ,NextX,NextY,NextZ,AIType,CPU(ms)
1,0.00,AgentPrefab,Agent,IdleState,Idling,Goal,20.00,0.00,20.00,1.00,0.00,0.00,1.00,0.00,0.00,DStar,
1,0.00,AIManager,Performance,Pathfinding,Executed,DStar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DStar,150.200
2,0.02,AgentPrefab,Agent,SearchState,Searching,Goal,20.00,0.00,20.00,1.00,0.00,0.00,1.00,0.00,0.00,DStar,
3,0.04,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.00,0.00,0.00,1.00,0.00,0.00,DStar,
4,0.05,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.00,0.00,0.00,20.00,0.00,20.00,DStar,
5,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.01,0.00,0.01,20.00,0.00,20.00,DStar,
6,0.06,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.02,0.00,0.02,20.00,0.00,20.00,DStar,
7,0.07,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.03,0.00,0.03,20.00,0.00,20.00,DStar,
8,0.08,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.04,0.00,0.05,20.00,0.00,20.00,DStar,
9,0.09,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.06,0.00,0.06,20.00,0.00,20.00,DStar,
10,0.10,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.07,0.00,0.07,20.00,0.00,20.00,DStar,
11,0.11,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.08,0.00,0.08,20.00,0.00,20.00,DStar,
12,0.11,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.09,0.00,0.10,20.00,0.00,20.00,DStar,
13,0.12,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.10,0.00,0.11,20.00,0.00,20.00,DStar,
14,0.13,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.11,0.00,0.12,20.00,0.00,20.00,DStar,
15,0.14,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.12,0.00,0.13,20.00,0.00,20.00,DStar,
16,0.15,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.14,0.00,0.14,20.00,0.00,20.00,DStar,
17,0.15,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.15,0.00,0.15,20.00,0.00,20.00,DStar,
18,0.16,AgentPrefab,Agent,MoveState,Moving,Goal,20.00,0.00,20.00,1.16,0.00,0.17,20.00,0.00,20.00,DStar,
