Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ,AIType
1,0.00,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,9.00,0.00,17.00,N/A
1,0.00,AgentPrefab,Agent,IdleState,Idling,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,AStar
1,0.00,AgentPrefab,Agent,SearchState,Searching Path,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,AStar
2,0.02,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,9.00,0.00,17.00,N/A
2,0.02,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,AStar
3,0.04,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,9.00,0.00,17.00,N/A
3,0.04,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.00,0.00,0.00,AStar
4,0.05,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.03,0.00,0.02,9.00,0.00,17.00,N/A
4,0.05,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.03,0.00,0.02,AStar
5,0.05,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.04,0.00,0.03,9.00,0.00,17.00,N/A
5,0.05,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.04,0.00,0.03,AStar
6,0.05,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.05,0.00,0.04,9.00,0.00,17.00,N/A
6,0.05,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.05,0.00,0.04,AStar
7,0.05,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.05,0.00,0.04,9.00,0.00,17.00,N/A
7,0.05,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.05,0.00,0.04,AStar
8,0.06,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.05,0.00,0.04,9.00,0.00,17.00,N/A
8,0.06,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.05,0.00,0.04,AStar
9,0.06,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.06,0.00,0.05,9.00,0.00,17.00,N/A
9,0.06,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.06,0.00,0.05,AStar
10,0.06,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.06,0.00,0.05,9.00,0.00,17.00,N/A
10,0.06,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.06,0.00,0.05,AStar
11,0.07,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.07,0.00,0.06,9.00,0.00,17.00,N/A
11,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.07,0.00,0.06,AStar
12,0.07,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.07,0.00,0.06,9.00,0.00,17.00,N/A
12,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.07,0.00,0.06,AStar
13,0.07,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.07,0.00,0.06,9.00,0.00,17.00,N/A
13,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.07,0.00,0.06,AStar
14,0.07,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.08,0.00,0.06,9.00,0.00,17.00,N/A
14,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.08,0.00,0.06,AStar
15,0.07,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.08,0.00,0.07,9.00,0.00,17.00,N/A
15,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.08,0.00,0.07,AStar
16,0.08,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.08,0.00,0.07,9.00,0.00,17.00,N/A
16,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.08,0.00,0.07,AStar
17,0.08,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.09,0.00,0.07,9.00,0.00,17.00,N/A
17,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.09,0.00,0.07,AStar
18,0.08,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.09,0.00,0.08,9.00,0.00,17.00,N/A
18,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.09,0.00,0.08,AStar
19,0.08,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.10,0.00,0.08,9.00,0.00,17.00,N/A
19,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.10,0.00,0.08,AStar
20,0.09,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.10,0.00,0.08,9.00,0.00,17.00,N/A
20,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.10,0.00,0.08,AStar
21,0.09,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.10,0.00,0.09,9.00,0.00,17.00,N/A
21,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.10,0.00,0.09,AStar
22,0.09,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.11,0.00,0.09,9.00,0.00,17.00,N/A
22,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.11,0.00,0.09,AStar
23,0.09,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.11,0.00,0.09,9.00,0.00,17.00,N/A
23,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.11,0.00,0.09,AStar
24,0.10,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.11,0.00,0.10,9.00,0.00,17.00,N/A
24,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.11,0.00,0.10,AStar
25,0.10,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.12,0.00,0.10,9.00,0.00,17.00,N/A
25,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.12,0.00,0.10,AStar
26,0.10,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.12,0.00,0.10,9.00,0.00,17.00,N/A
26,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.12,0.00,0.10,AStar
27,0.10,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.13,0.00,0.11,9.00,0.00,17.00,N/A
27,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.13,0.00,0.11,AStar
28,0.11,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.13,0.00,0.11,9.00,0.00,17.00,N/A
28,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.13,0.00,0.11,AStar
29,0.11,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.13,0.00,0.11,9.00,0.00,17.00,N/A
29,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.13,0.00,0.11,AStar
30,0.11,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.14,0.00,0.11,9.00,0.00,17.00,N/A
30,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.14,0.00,0.11,AStar
31,0.11,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.14,0.00,0.12,9.00,0.00,17.00,N/A
31,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.14,0.00,0.12,AStar
32,0.12,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.14,0.00,0.12,9.00,0.00,17.00,N/A
32,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.14,0.00,0.12,AStar
33,0.12,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.15,0.00,0.12,9.00,0.00,17.00,N/A
33,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.15,0.00,0.12,AStar
34,0.12,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.15,0.00,0.13,9.00,0.00,17.00,N/A
34,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.15,0.00,0.13,AStar
35,0.12,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.15,0.00,0.13,9.00,0.00,17.00,N/A
35,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.15,0.00,0.13,AStar
36,0.13,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.16,0.00,0.13,9.00,0.00,17.00,N/A
36,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.16,0.00,0.13,AStar
37,0.13,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.16,0.00,0.14,9.00,0.00,17.00,N/A
37,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.16,0.00,0.14,AStar
38,0.13,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.17,0.00,0.14,9.00,0.00,17.00,N/A
38,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.17,0.00,0.14,AStar
39,0.13,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.17,0.00,0.14,9.00,0.00,17.00,N/A
39,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.17,0.00,0.14,AStar
40,0.14,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.18,0.00,0.15,9.00,0.00,17.00,N/A
40,0.14,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.18,0.00,0.15,AStar
41,0.14,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.18,0.00,0.15,9.00,0.00,17.00,N/A
41,0.14,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.18,0.00,0.15,AStar
42,0.14,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.18,0.00,0.15,9.00,0.00,17.00,N/A
42,0.14,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.18,0.00,0.15,AStar
43,0.14,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.16,9.00,0.00,17.00,N/A
43,0.14,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.19,0.00,0.16,AStar
44,0.15,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.16,9.00,0.00,17.00,N/A
44,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.19,0.00,0.16,AStar
45,0.15,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.16,9.00,0.00,17.00,N/A
45,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.20,0.00,0.16,AStar
46,0.15,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.17,9.00,0.00,17.00,N/A
46,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.20,0.00,0.17,AStar
47,0.16,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.17,9.00,0.00,17.00,N/A
47,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.20,0.00,0.17,AStar
48,0.16,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.21,0.00,0.17,9.00,0.00,17.00,N/A
48,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.21,0.00,0.17,AStar
49,0.16,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.21,0.00,0.18,9.00,0.00,17.00,N/A
49,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.21,0.00,0.18,AStar
50,0.16,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.21,0.00,0.18,9.00,0.00,17.00,N/A
50,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.21,0.00,0.18,AStar
51,0.17,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.22,0.00,0.18,9.00,0.00,17.00,N/A
51,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.22,0.00,0.18,AStar
52,0.17,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.22,0.00,0.19,9.00,0.00,17.00,N/A
52,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.22,0.00,0.19,AStar
53,0.17,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.23,0.00,0.19,9.00,0.00,17.00,N/A
53,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.23,0.00,0.19,AStar
54,0.17,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.23,0.00,0.19,9.00,0.00,17.00,N/A
54,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.23,0.00,0.19,AStar
55,0.17,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.23,0.00,0.20,9.00,0.00,17.00,N/A
55,0.17,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.23,0.00,0.20,AStar
56,0.18,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.24,0.00,0.20,9.00,0.00,17.00,N/A
56,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.24,0.00,0.20,AStar
57,0.18,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.24,0.00,0.20,9.00,0.00,17.00,N/A
57,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.24,0.00,0.20,AStar
58,0.18,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.24,0.00,0.21,9.00,0.00,17.00,N/A
58,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.24,0.00,0.21,AStar
59,0.18,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.25,0.00,0.21,9.00,0.00,17.00,N/A
59,0.18,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.25,0.00,0.21,AStar
60,0.19,AllyPrefab,Ally,AllyIdleState,Idling,AgentPrefab,0.25,0.00,0.21,9.00,0.00,17.00,N/A
60,0.19,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab,9.00,0.00,17.00,0.25,0.00,0.21,AStar
